Country,Region,Energy_Type,Year,Unit,Energy_Production,Energy_Consumption,Energy_Imports,Energy_Exports,Renewable_Percentage,CO2_Emissions_Million_Tons,GDP_Billion_USD,Population_Millions,Energy_Intensity,Annual_Growth_Rate_%
Australia,Oceania,Nuclear,2021,Terawatt-hours (TWh),18173,30661,7504,11058,59.61,876.1,884.15,425.58,173.71,7.33
Australia,Africa,Natural Gas,2023,Terawatt-hours (TWh),15042,46488,9726,1324,69.67,498.93,21930.63,136.59,294.35,1.43
Australia,Oceania,Solar,2018,Terawatt-hours (TWh),20508,30225,12747,15548,54.79,849.37,16490.11,1189.18,195.64,7.55
Australia,South America,Hydro,2019,Terawatt-hours (TWh),27946,18734,12246,13629,12.01,290.72,5969.97,1031.55,144.22,-4.14
Australia,Africa,Hydro,2015,Terawatt-hours (TWh),49788,1947,3033,5490,57.97,607.13,783.66,369.32,144.63,-0.33
Australia,North America,Wind,2015,Terawatt-hours (TWh),19489,45888,5067,5082,47.51,1158.35,8270.26,1477.61,227.09,8.06
Australia,South America,Coal,2024,Terawatt-hours (TWh),4653,45601,7643,6696,23.85,1371.5,14575.6,1065.92,397.47,3.63
Australia,Oceania,Coal,2015,Terawatt-hours (TWh),33661,46693,12673,4881,29.56,311.12,1836.92,1020.11,391.3,-1.17
Australia,Africa,Nuclear,2023,Terawatt-hours (TWh),49247,49397,5532,12242,20.33,2191.45,10580.58,608.37,238.99,1.68
Australia,Asia,Wind,2023,Terawatt-hours (TWh),1211,10487,12330,11840,57.65,1215.63,23916.23,981.28,150.38,-2.53
Australia,South America,Wind,2018,Terawatt-hours (TWh),28578,31298,9220,631,5.65,2657.31,15124.56,580.51,274.14,-0.26
Australia,Africa,Wind,2020,Terawatt-hours (TWh),12183,41947,14346,1129,13.54,1267.47,11828.33,840.11,146.5,5.9
Australia,Africa,Oil,2019,Terawatt-hours (TWh),48766,44177,14323,1828,55.89,1962.51,5744.75,311.32,92.82,-3.25
Australia,Africa,Coal,2019,Terawatt-hours (TWh),4590,26305,8555,4612,47.74,1663.1,1739.87,179.1,199.16,2.06
Australia,Europe,Natural Gas,2020,Terawatt-hours (TWh),15862,47545,11479,8396,64.67,4349.1,4381.8,407.91,100.98,6.73
Australia,Asia,Solar,2021,Terawatt-hours (TWh),1514,11933,13401,3498,49.69,3604.12,20239.89,1471.71,222.46,0.22
Australia,Oceania,Coal,2018,Terawatt-hours (TWh),19528,19219,4473,17272,14.84,3826.88,7637.71,190.02,332.47,3.69
Australia,Asia,Oil,2022,Terawatt-hours (TWh),42753,22461,11234,8202,57.99,4104.64,2309.37,953.96,229.07,6.54
Australia,Africa,Wind,2019,Terawatt-hours (TWh),47701,48495,1756,14177,41.1,1714.26,15282.79,198.66,213.74,-2.52
Australia,North America,Natural Gas,2023,Terawatt-hours (TWh),29140,45203,3120,6222,10.05,4559.4,18246.08,226.82,131.25,1.21
Australia,South America,Wind,2015,Terawatt-hours (TWh),5349,30775,11505,7399,25.69,3100.84,19650.84,431.66,248.8,-1.64
Australia,Europe,Coal,2021,Terawatt-hours (TWh),45617,41064,3268,10709,42.62,4171.65,14306.96,565.97,236.38,8.12
Australia,Africa,Oil,2015,Terawatt-hours (TWh),24935,7450,658,19881,60.16,1249.76,21038.09,1280.94,102.55,4.26
Australia,Oceania,Oil,2015,Terawatt-hours (TWh),16189,11814,10274,11248,46.87,2347.67,6365.6,1151.45,339.38,0.31
Australia,Oceania,Oil,2015,Terawatt-hours (TWh),2855,7404,6604,15973,52,1306.45,19785.14,1002.25,301.76,6.39
Australia,Asia,Nuclear,2018,Terawatt-hours (TWh),35830,34388,5753,19709,59.87,1495.06,5419.15,1062.84,218.49,7.81
Australia,Oceania,Solar,2023,Terawatt-hours (TWh),24789,40219,760,12126,8.22,1512.09,20446.11,57.24,117.97,-0.96
Australia,Oceania,Hydro,2024,Terawatt-hours (TWh),5184,5817,3741,5756,61.21,116.66,12490.62,1118.01,315.82,1.33
Australia,Africa,Hydro,2023,Terawatt-hours (TWh),42494,42470,8006,6934,64.58,4760.91,21986.32,1183.47,166.15,6.71
Australia,North America,Solar,2016,Terawatt-hours (TWh),15316,45549,8309,2275,25.46,4224.87,9676.61,1421.39,111.23,8.2
Australia,Europe,Hydro,2019,Terawatt-hours (TWh),22288,3535,6766,3970,56.42,4914.95,1083.53,652.51,83.97,7.15
Australia,Asia,Natural Gas,2024,Terawatt-hours (TWh),47398,14294,11370,8159,17.89,3231.79,9088.07,1427.2,151.26,8.41
Australia,Asia,Natural Gas,2019,Terawatt-hours (TWh),26782,30958,4430,6160,37.08,4876.15,13909.42,1499.76,141.62,-0.86
Australia,Asia,Hydro,2018,Terawatt-hours (TWh),40775,16090,5992,10007,37.95,1898.86,20468.78,1247.77,333.86,4.17
Australia,Oceania,Solar,2019,Terawatt-hours (TWh),36619,27398,4227,11759,61.5,4606.4,18827.57,355.15,215.29,6.52
Australia,Oceania,Solar,2024,Terawatt-hours (TWh),42263,24762,7307,19685,45.83,4725.25,3209.1,741.9,179.11,2.15
Australia,South America,Wind,2017,Terawatt-hours (TWh),37959,24204,1772,13439,66.95,3589.76,24274.47,1044.65,63.27,-3.15
Australia,Oceania,Coal,2020,Terawatt-hours (TWh),23576,28355,6725,15080,17.52,3192.5,6896.77,300.46,82.62,8.76
Australia,South America,Natural Gas,2015,Terawatt-hours (TWh),4515,5330,7895,12712,17.48,1497.06,12581.29,411.25,226.02,-2.91
Australia,Africa,Coal,2017,Terawatt-hours (TWh),9701,43297,3965,553,50.38,2324.05,14122.92,1347.74,54.2,3.29
Australia,South America,Hydro,2022,Terawatt-hours (TWh),29548,30243,13038,16651,46.57,2991.9,611.2,943.61,388.84,3.1
Australia,South America,Solar,2024,Terawatt-hours (TWh),42041,40151,10846,18873,14.86,4781.48,21888.2,1104.22,385.27,-4.46
Australia,Africa,Coal,2015,Terawatt-hours (TWh),21142,23993,13572,18403,51.11,962.88,17253.03,124.68,351.54,-1.77
Australia,Oceania,Natural Gas,2023,Terawatt-hours (TWh),34925,49379,13271,18668,61.24,3179.48,10668.29,1358.44,384.72,4.98
Australia,South America,Wind,2023,Terawatt-hours (TWh),31476,19469,13133,4771,51.87,2404.4,9053.32,1391.55,368.35,8.65
Australia,South America,Hydro,2024,Terawatt-hours (TWh),11731,16811,4646,12458,69.33,2911.46,15872.43,437.82,218.1,-0.85
Australia,Asia,Natural Gas,2022,Terawatt-hours (TWh),25761,21859,10250,10343,42.03,2947.25,7718.99,1255.02,121.37,7.08
Australia,Asia,Coal,2018,Terawatt-hours (TWh),43149,6124,567,6237,59.1,948.17,22641.53,939.96,323.33,9.92
Australia,Africa,Solar,2017,Terawatt-hours (TWh),21985,23136,135,9435,69.99,246.47,12053.64,1367.32,78.94,2.46
Australia,South America,Solar,2017,Terawatt-hours (TWh),23669,29012,6520,13414,20.2,1593.84,20945.98,915.91,398.8,9.05
Australia,Asia,Coal,2022,Terawatt-hours (TWh),40187,17964,7117,7275,7.81,4117.92,9324.19,1156.03,359.84,-1.56
Australia,North America,Nuclear,2024,Terawatt-hours (TWh),26707,42399,3423,3577,27.51,4246.38,24008.34,142.57,336.95,-3.75
Australia,Europe,Natural Gas,2017,Terawatt-hours (TWh),29730,11758,5435,1284,15.79,2338.48,7716.77,50.34,361.53,0.39
Australia,North America,Wind,2023,Terawatt-hours (TWh),25178,26903,11245,5353,9.84,1769.98,19009.18,189.91,108.53,-1.41
Australia,South America,Solar,2019,Terawatt-hours (TWh),43017,48305,1943,9369,52.65,1514.1,13701.56,1194.2,313.79,7.69
Australia,Africa,Nuclear,2021,Terawatt-hours (TWh),45177,34618,14374,15126,28.48,3252.56,10457.76,1250.74,288.36,-1.63
Australia,Oceania,Hydro,2020,Terawatt-hours (TWh),36187,4034,12654,6799,40.14,3731.51,13502.82,317.46,356.29,-1.09
Australia,Oceania,Natural Gas,2024,Terawatt-hours (TWh),16885,36240,9965,14509,58.88,4332.55,22316.87,1289.44,56.16,9.19
Australia,Asia,Wind,2015,Terawatt-hours (TWh),2213,36819,8573,10615,17.46,4539.22,14102.19,407.38,196.53,-3.35
Australia,North America,Wind,2017,Terawatt-hours (TWh),29369,13575,6058,10178,7.21,3020.42,21219.46,1064.78,325.5,3.39
Australia,South America,Wind,2019,Terawatt-hours (TWh),37043,51931,6630,17875,51.06,3275.88,24111.2,1222.93,311.67,2.43
Australia,North America,Hydro,2017,Terawatt-hours (TWh),25594,26868,2393,19318,11.91,1932.55,21842.15,371.5,255.28,2.12
Australia,Africa,Hydro,2016,Terawatt-hours (TWh),5215,6658,2050,17659,33.24,4290.22,9464.99,1088.32,243.61,1.19
Australia,Africa,Wind,2015,Terawatt-hours (TWh),36137,15854,9116,11214,18.33,1058.92,20916.19,1058.17,251.58,3.34
Australia,Asia,Wind,2020,Terawatt-hours (TWh),38958,1185,13260,15941,25.65,3978.85,9963.17,308.88,230.7,7.29
Australia,South America,Nuclear,2016,Terawatt-hours (TWh),33502,24492,11943,18506,26.68,2236.54,12559.33,334.72,57.7,-2.9
Australia,South America,Nuclear,2015,Terawatt-hours (TWh),37090,29835,2628,17293,50.79,1944.42,22593.85,1210,119.19,6.3
Australia,Africa,Nuclear,2015,Terawatt-hours (TWh),44890,1548,8729,5882,7.81,4861.09,8156.94,1355.18,282.47,-1.31
Australia,Africa,Oil,2022,Terawatt-hours (TWh),33059,20091,4411,12441,28.87,1097.58,162.29,199.9,285.15,-2.09
Australia,Oceania,Wind,2015,Terawatt-hours (TWh),32029,37500,14484,17409,52.7,1280.67,476.03,1337.63,372.48,-0.02
Australia,Oceania,Natural Gas,2017,Terawatt-hours (TWh),40713,34936,9173,12429,28.92,704.76,11316.17,1219.5,189.29,0.93
Australia,Africa,Oil,2015,Terawatt-hours (TWh),40789,30423,8682,11185,28.57,89.07,15984.1,808.57,80.33,1.55
Australia,Oceania,Oil,2017,Terawatt-hours (TWh),15723,8599,8950,11169,26.92,1058.08,8766.51,802.64,145.77,-4.77
Australia,Europe,Solar,2017,Terawatt-hours (TWh),42017,37614,6260,923,37.92,2167.98,9290.09,865.85,198.97,5.62
Australia,South America,Wind,2023,Terawatt-hours (TWh),5717,17099,3109,16466,20.76,2921.05,3589.75,1096.96,388.03,5.44
Australia,South America,Solar,2024,Terawatt-hours (TWh),43787,41830,12366,11282,8.02,2307.93,3810.33,1101.42,267.94,3.03
Australia,South America,Wind,2019,Terawatt-hours (TWh),26396,47758,9975,5243,64.41,4748.81,3665.3,1023.11,294.16,1.86
Australia,Africa,Coal,2016,Terawatt-hours (TWh),23971,38802,12513,19079,33.92,3211.05,3152.74,483.62,95.47,1.51
Australia,South America,Nuclear,2022,Terawatt-hours (TWh),19084,34955,3585,1011,37.62,4061.47,5150.37,416.33,256.94,3.98
Australia,South America,Oil,2023,Terawatt-hours (TWh),28833,33682,3160,15948,6.88,2164.81,15366.23,902.94,248.45,0.49
Australia,Asia,Coal,2022,Terawatt-hours (TWh),12771,25666,752,14828,64.56,4510.39,19359.58,1116.44,124.76,0.72
Australia,Africa,Coal,2020,Terawatt-hours (TWh),9415,11096,5341,11194,15.16,4464.24,16126.14,1104.81,184.55,8.26
Australia,Oceania,Oil,2019,Terawatt-hours (TWh),45379,613,1408,575,22.32,2340.5,11678.04,22.18,296.77,-0.03
Australia,Europe,Wind,2017,Terawatt-hours (TWh),19203,5421,8973,10444,10.64,3369.8,20869.54,199.66,196.93,-3.71
Australia,South America,Wind,2021,Terawatt-hours (TWh),9775,43350,12413,13242,36.4,3911.61,835.75,685.64,131.93,9.19
Australia,South America,Hydro,2022,Terawatt-hours (TWh),32919,43820,1526,19586,24.28,4820.07,21729.49,509.33,325.61,-4.2
Australia,Asia,Hydro,2022,Terawatt-hours (TWh),18330,17661,6457,16538,27.27,4471.08,10086.85,1499.64,237.2,-1
Australia,Asia,Natural Gas,2018,Terawatt-hours (TWh),24725,38028,10542,7263,45.88,844.58,5076.18,778.53,97.25,-4.17
Australia,North America,Coal,2021,Terawatt-hours (TWh),45730,9986,8439,16754,42.2,1422.81,7236.04,493.46,155.99,6.7
Australia,South America,Coal,2019,Terawatt-hours (TWh),31719,49704,14126,123,51.08,4059.58,11179.17,511.91,331.02,0.42
Australia,Europe,Coal,2019,Terawatt-hours (TWh),42998,43547,9688,4239,14.4,4408.27,1282.33,993.37,257.28,6.67
Australia,North America,Oil,2015,Terawatt-hours (TWh),9995,8536,14649,4932,19.11,3254.86,9242.91,965.51,111.17,3.37
Australia,Europe,Hydro,2018,Terawatt-hours (TWh),34493,15252,5916,5008,20.56,2799.74,20483.15,461.48,274.61,-4.27
Australia,Oceania,Coal,2016,Terawatt-hours (TWh),15487,50282,2510,8359,29.58,1232.83,10420.08,1051.06,105.61,2.15
Australia,Oceania,Solar,2016,Terawatt-hours (TWh),26151,32071,5379,12901,27.21,624.87,9547.55,269.98,234.43,7.49
Australia,Asia,Solar,2018,Terawatt-hours (TWh),14797,50561,7348,2215,34.14,1436.48,541.08,690.75,237.84,1.83
Australia,Oceania,Solar,2024,Terawatt-hours (TWh),27511,24560,8828,15870,20.26,4234.97,15208.57,961,315.49,1.51
Australia,Asia,Natural Gas,2021,Terawatt-hours (TWh),16586,48909,14989,17736,21.89,1571.62,4006.57,212.32,285.55,5.85
Australia,Oceania,Oil,2018,Terawatt-hours (TWh),25086,41700,7320,4171,32.54,4897.42,19231.73,524.8,271.42,3.11
Australia,Asia,Natural Gas,2021,Terawatt-hours (TWh),29580,28463,12978,16749,43.86,4726.83,7709.05,542.04,163.78,0.9
Australia,South America,Solar,2016,Terawatt-hours (TWh),18547,24700,5412,7191,49.94,1145.59,12284.99,866.47,308.9,1.72
Australia,Africa,Coal,2019,Terawatt-hours (TWh),17305,18870,14470,15772,27.26,993.24,23379.97,844.46,147.62,-1.23
Australia,Oceania,Natural Gas,2020,Terawatt-hours (TWh),33533,16641,11490,5913,32.12,3813.91,6476.92,1307.69,310.81,1.7
Australia,South America,Oil,2015,Terawatt-hours (TWh),1878,9278,13379,16975,12.67,3914.86,21999.63,661.28,114.86,0.76
Australia,North America,Wind,2022,Terawatt-hours (TWh),7003,10609,12649,9624,60.33,2789.76,14196.7,265.98,248.53,2.01
Australia,Europe,Coal,2024,Terawatt-hours (TWh),40425,28899,9475,13305,62.04,67.37,12592.34,274.91,377.55,3.96
Australia,North America,Natural Gas,2020,Terawatt-hours (TWh),34117,35702,1086,228,45.41,3014.67,16541.67,1440.33,317.34,6.46
Australia,Oceania,Solar,2016,Terawatt-hours (TWh),31506,25639,4341,5386,62.69,1923.08,3667.48,241.86,294.35,-2.12
Australia,South America,Solar,2018,Terawatt-hours (TWh),5137,41878,3128,17569,49.75,778.42,7407.01,665.36,296.37,7.98
Australia,North America,Nuclear,2021,Terawatt-hours (TWh),28704,20012,8937,17275,25.58,3132.67,3593.64,1376.63,253.05,-3.73
Australia,South America,Oil,2020,Terawatt-hours (TWh),27520,22325,7696,11079,15.01,4851.82,17506.76,147.49,258.52,-3.8
Australia,North America,Natural Gas,2022,Terawatt-hours (TWh),48430,51611,1366,19798,25.04,3559.45,12710.74,437.28,273.04,-4.6
Australia,Africa,Hydro,2015,Terawatt-hours (TWh),44290,25480,14591,1024,41.19,4238.79,4501.11,920.28,134.41,4.41
Australia,Europe,Solar,2021,Terawatt-hours (TWh),22490,5202,14214,11416,63.14,3626.9,17188.72,275.04,300.95,4.68
Australia,Europe,Coal,2019,Terawatt-hours (TWh),34729,22045,8747,19198,67.67,2923.9,8296.03,889.84,67.91,2.07
Australia,Africa,Natural Gas,2024,Terawatt-hours (TWh),15905,47815,3313,18372,32.7,4181.39,18094.93,342.16,58.79,9.64
Australia,Europe,Nuclear,2022,Terawatt-hours (TWh),24047,8512,11899,5665,24.28,4735.75,8992.52,939.96,207.74,8.97
Australia,Asia,Nuclear,2021,Terawatt-hours (TWh),33091,2303,10168,9938,42.01,4643.34,20514.18,515.51,68.97,2.93
Australia,North America,Oil,2017,Terawatt-hours (TWh),10471,29805,1761,5144,43.34,2719.31,2355.25,853.57,90.33,-2.56
Australia,Asia,Wind,2016,Terawatt-hours (TWh),43908,543,956,1688,30.24,2305.81,834.18,948.64,212.15,1.32
Australia,Asia,Hydro,2023,Terawatt-hours (TWh),6987,51808,8643,15320,68.95,1657.59,11330.72,1261.43,264.44,3.53
Australia,North America,Hydro,2018,Terawatt-hours (TWh),28694,43632,1619,16693,68.67,2433.25,539.15,1020.63,179.4,6.94
Australia,North America,Oil,2022,Terawatt-hours (TWh),11432,7606,10205,8669,64.31,479.45,17759.44,452.33,382,-2.42
Australia,Europe,Hydro,2016,Terawatt-hours (TWh),30365,19320,5209,2839,65.71,237.74,11760.84,813.78,374.8,1.59
Australia,Oceania,Nuclear,2018,Terawatt-hours (TWh),25894,29821,3176,13541,33.46,1164.23,17623.69,1360.65,54.64,7.14
Australia,Oceania,Oil,2016,Terawatt-hours (TWh),25434,40271,2153,3320,35.44,2713.17,9489.68,1316.65,83.55,4.6
Australia,Africa,Coal,2019,Terawatt-hours (TWh),48320,12344,2978,17924,59.7,1672.17,16376.89,1015.23,320.79,7.73
Australia,Africa,Hydro,2015,Terawatt-hours (TWh),33250,26761,1575,6040,41.11,1981.86,20797.18,689.16,322.66,-4.2
Australia,Asia,Nuclear,2015,Terawatt-hours (TWh),44218,8324,11563,19724,57.52,3353.18,14775.1,298.67,102.4,-3.88
Australia,Oceania,Solar,2021,Terawatt-hours (TWh),17360,15949,8803,2343,42.64,2133.75,20144.54,322.52,355.57,7.65
Australia,Asia,Natural Gas,2020,Terawatt-hours (TWh),49269,4758,6368,1344,14.21,683.56,5438.19,1178.01,232.2,6.38
Australia,North America,Nuclear,2023,Terawatt-hours (TWh),30870,41988,8524,1884,31.89,2786.7,5543.96,764.49,98.34,8.13
